Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
att presentera,Jag ska presentera mitt projekt imorgon.,I will present my project tomorrow.
att stanna,Jag vill stanna hemma idag.,I want to stay home today.
att byta,Jag vill byta tröja med dig.,I want to switch shirts with you.
ett alternativ,Ett alternativ kan vara att läsa en bok.,An alternative could be to read a book.
en minut,Vi ses om en minut.,I'll see you in a minute.
ingenting,"Det gör ingenting, vi kan vänta.","It doesn't matter, we can wait."
att uppleva,Jag vill uppleva nya saker varje dag.,I want to experience new things every day.
att samla,Jag behöver samla mina tankar innan mötet.,I need to gather my thoughts before the meeting.
svart,Hunden är svart.,The dog is black.
en bakgrund,Hon har en intressant bakgrund som konstnär.,She has an interesting background as an artist.
ett skott,Jag tog ett skott på mål.,I took a shot at the goal.
en ö,Vi åkte till en ö för att bada.,We went to an island to swim.
en kärlek,En kärlek kan börja med ett leende.,A love can start with a smile.
en metod,En metod kan vara mycket effektiv.,A method can be very effective.
äldre,Min pappa är äldre än min mamma.,My dad is older than my mom.
säker,Jag är säker på att vi kommer att ha roligt.,I am sure that we will have fun.
en borgare,En borgare deltar i stadens möten.,A citizen participates in the city's meetings.
en gud,En gud kan ge oss hopp.,A god can give us hope.
en insats,En insats i laget gjorde att vi vann matchen.,A contribution to the team made us win the match.
tysk,Tyskarna gör god mat.,The Germans make good food.
en kontroll,Jag ska gå på en kontroll nästa vecka.,I will go for a check-up next week.
att lösa,Jag behöver att lösa detta problem före mötet.,I need to solve this problem before the meeting.
att kolla,Kan du kolla på min telefon?,Can you check my phone?
att fylla,Jag ska fylla år nästa vecka.,I will have a birthday next week.
en bestämmelse,En bestämmelse kan förändra vårt liv.,A regulation can change our lives.
ett ris,Ett ris ligger på bordet.,A rice is on the table.
att drabba,Regnet drabbade staden hårt i natt.,The rain hit the city hard last night.
ett nät,Ett nät kan fånga många fiskar.,A net can catch many fish.
en teknik,En teknik för att lära sig språk är att öva varje dag.,A technique to learn languages is to practice every day.
en resurs,En resurs kan hjälpa oss att växa.,A resource can help us grow.
ett försök,Det är värt ett försök att lära sig svenska.,It's worth a try to learn Swedish.
att fara,Vi ska fara till fjällen nästa vecka.,We are going to travel to the mountains next week.
att tjäna,Jag vill tjäna mer pengar nästa år.,I want to earn more money next year.
ett argument,Ett argument kan förändra allt.,An argument can change everything.
att behandla,Läkaren vet hur man ska behandla sina patienter.,The doctor knows how to treat his patients.
ren,Huset är alltid rent och fint.,The house is always clean and tidy.
en fru,Min fru lagar alltid god mat.,My wife always cooks good food.
sjuk,Jag känner mig sjuk idag.,I feel sick today.
istället för,Jag äter frukt istället för godis.,I eat fruit instead of candy.
ett våld,Ett våld är aldrig en lösning.,Violence is never a solution.
att utföra,Jag måste utföra mitt arbete idag.,I need to carry out my work today.
en ställning,"Vi ligger under i ställningen, men vi ger inte upp.","We are behind in the score, but we won't give up."
främst,Främst i klassen var hon alltid den som hade bäst betyg.,"Foremost in the class, she was always the one with the best grades."
att räcka,Kan du räcka mig boken?,Can you hand me the book?
bättre,Jag mår bättre idag än igår.,I feel better today than yesterday.
att fundera,Jag behöver tid att fundera över mitt beslut.,I need time to think about my decision.
visst,Visst kommer vi att ha roligt på festen!,"Certainly, we will have fun at the party!"
en sommar,En sommar åkte vi till stranden varje dag.,"One summer, we went to the beach every day."
en rörelse,En rörelse kan förändra världen.,A movement can change the world.
en kund,En kund kommer alltid först.,A customer always comes first.
ett villkor,"Jag kan hjälpa dig, men jag har ett villkor.","I can help you, but I have one condition."
högt,Hon sjunger alltid högt på konserter.,She always sings loudly at concerts.
en president,En president leder landet.,A president leads the country.
emellertid,Det regnade mycket; emellertid hade vi roligt ändå.,"It rained a lot; however, we had fun anyway."
en händelse,Det var en händelse som förändrade allt.,It was an event that changed everything.
att uppstå,Ett fel har uppstått i systemet.,An error has occurred in the system.
tillbaka,Jag vill ha min bok tillbaka.,I want my book back.
att acceptera,Jag måste acceptera ditt erbjudande.,I must accept your offer.
ett huvud,Jag har ont i ett huvud.,I have a headache.
ett sök,Jag gjorde ett sök på internet för att hitta recept.,I did a search on the internet to find recipes.
snabb,Han springer snabbt.,He runs fast.
så kallad,Det är en så kallad expert på ämnet.,He is a so-called expert on the subject.
framför,Jag sitter framför teven och äter popcorn.,I sit in front of the TV and eat popcorn.
en ände,Jag tog tag i en ände av repet.,I grabbed one end of the rope.
att bilda,Vi behöver bilda en plan för projektet.,We need to form a plan for the project.
en orsak,En orsak till problemet är bristen på kommunikation.,A cause of the problem is the lack of communication.
att försvinna,Månen försvann bakom molnen.,The moon disappeared behind the clouds.
ett fel,Det var ett fel i rapporten.,There was a mistake in the report.
ett innehåll,Ett innehåll kan vara intressant och lärorikt.,A content can be interesting and educational.
en natur,En natur kan vara mycket vacker.,A nature can be very beautiful.
ett begrepp,Ett begrepp jag inte förstår är demokrati.,A concept I don't understand is democracy.
för att,Jag läser en bok för att lära mig nya saker.,I read a book in order to learn new things.
en konflikt,Det finns en konflikt mellan två grupper.,There is a conflict between two groups.
tack,Tack för hjälpen!,Thank you for the help!
ett djur,Ett djur kan vara en vän.,An animal can be a friend.
en chans,Jag vill ta en chans att vinna tävlingen.,I want to take a chance to win the competition.
samtidigt som,Jag lyssnar på musik samtidigt som jag städar.,I listen to music at the same time as I clean.
demokratisk,Sverige är en demokratisk nation.,Sweden is a democratic nation.
fel,Jag hörde fel när du sa ditt namn.,I heard wrong when you said your name.
ett läge,Jag är i ett läge där jag måste bestämma mig.,I am in a situation where I have to decide.
att sprida,Vi kan sprida glädje med våra leenden.,We can spread joy with our smiles.
en växt,En växt behöver ljus för att växa.,A plant needs light to grow.
förutom,Förutom kaffe gillar jag att dricka te.,"Aside from coffee, I like to drink tea."
i samband med,Vi träffades i samband med mötet.,We met in conjunction with the meeting.
styck,Jag köper ett styck bröd.,I am buying a piece of bread.
ett utskott,Det finns ett utskott som arbetar med miljöfrågor.,There is a committee that works on environmental issues.
en muslim,En muslim ber varje dag.,A Muslim prays every day.
en ordning,Det är viktigt att ha en ordning i hemmet.,It is important to have tidiness in the home.
ett uppdrag,Jag har fått ett uppdrag från min lärare.,I have received an assignment from my teacher.
en mark,En mark är viktig för att odla mat.,A piece of land is important for growing food.
en säkerhet,En säkerhet är viktigt för alla.,A security is important for everyone.
en linje,Jag står i kö för att köpa en biljett på en linje.,I am standing in line to buy a ticket on a route.
en bank,Jag går till en bank för att låna pengar.,I am going to a bank to borrow money.
att önska,Jag önskar att det blir soligt imorgon.,I wish it will be sunny tomorrow.
givetvis,Givetvis kommer jag till festen.,"Of course, I will come to the party."
en studie,En studie visar att motion är bra för hälsan.,A study shows that exercise is good for health.
en fredag,En fredag är min favoritdag.,A Friday is my favorite day.
en lärare,En lärare hjälper eleverna att lära sig.,A teacher helps the students learn.
statlig,Statliga skolor är viktiga för samhället.,State-owned schools are important for society.
en söndag,En söndag ska vi gå på bio.,"On a Sunday, we will go to the movies."
speciellt,"Jag gillar pizza, speciellt med extra ost.","I love pizza, especially with extra cheese."
röd,Trafikljuset blev röd och jag stannade.,The traffic light turned red and I stopped.
en television,Jag ser på en television varje kväll.,I watch a television every evening.
ett hot,Ett hot kan göra människor rädda.,A threat can make people afraid.
ett verk,Konstnären skapade ett verk som berörde många.,The artist created a work that touched many.
att publicera,Jag planerar att publicera min bok nästa månad.,I plan to publish my book next month.
fel,Det var fel att ge mig den adressen.,It was wrong to give me that address.
en stund,Vi kan vänta en stund.,We can wait a while.
att tillhöra,Jag vill tillhöra den bästa klubben.,I want to belong to the best club.
att omfatta,Boken omfattar många intressanta ämnen.,The book includes many interesting topics.
ett material,Ett material kan vara starkt eller svagt.,A material can be strong or weak.
en pelare,En pelare stöder taket i rummet.,A pillar supports the ceiling in the room.
ett hjärta,Ett hjärta slår för kärlek.,A heart beats for love.
knappast,Det är knappast möjligt att hinna med allt idag.,It is hardly possible to get everything done today.
att befinna sig,Jag befinner mig i Stockholm just nu.,I am in Stockholm right now.
en part,En part av kakan är min favorit.,A piece of the cake is my favorite.
trevlig,Det är trevligt att träffa nya vänner.,It is nice to meet new friends.
en höst,En höst är en vacker tid på året.,An autumn is a beautiful time of the year.
att skilja,Det är viktigt att skilja mellan rätt och fel.,It is important to distinguish between right and wrong.
ens,Du har inte ens sagt hej.,You haven't even said hello.
en förmåga,Hon har en förmåga att lära sig nya språk snabbt.,She has an ability to learn new languages quickly.
att döda,Det är fel att döda djur utan anledning.,It is wrong to kill animals without reason.
ett stånd,Vi ställde upp ett stånd på marknaden för att sälja grönsaker.,We set up a booth at the market to sell vegetables.
att peka,Kan du peka på tavlan?,Can you point at the board?
en bedömning,Jag behöver en bedömning av mitt arbete.,I need an assessment of my work.
att ringa,Jag måste ringa min vän senare.,I need to call my friend later.
att betrakta,Jag gillar att betrakta stjärnorna på natten.,I enjoy contemplating the stars at night.
en by,Det finns en by nära sjön.,There is a village near the lake.
utifrån,Utifrån situationen kan vi fatta ett bra beslut.,"Based on the situation, we can make a good decision."
en brist,Det finns en brist på mat i vissa områden.,There is a lack of food in some areas.
att hänga,Jag älskar att hänga med mina vänner på helgerna.,I love to hang out with my friends on the weekends.
tillräckligt,Är du säker på att du har tillräckligt med tid?,Are you sure you have enough time?
en måndag,En måndag är en bra dag att börja träna.,A Monday is a good day to start exercising.
aktuell,Den aktuella nyheten är viktig för alla.,The current news is important for everyone.
någonsin,Har du någonsin varit i Stockholm?,Have you ever been to Stockholm?
att tillåta,Jag måste tillåta mig själv att vila.,I must allow myself to rest.
ett universitet,Jag vill studera på ett universitet.,I want to study at a university.
en konsekvens,En konsekvens av att studera är bättre betyg.,A consequence of studying is better grades.
ett ställe,Vi ska åka till ett ställe vid sjön i helgen.,We will go to a place by the lake this weekend.
hård,Det är en hård väg att gå.,It is a hard road to walk.
en majoritet,En majoritet av folket stödjer den nya lagen.,A majority of the people support the new law.
en domstol,En domstol avgör tvister mellan människor.,A court of law resolves disputes between people.
en ordförande,Ordföranden leder mötet med stor entusiasm.,The chairman leads the meeting with great enthusiasm.
en lördag,Vi går alltid till parken en lördag.,We always go to the park on a Saturday.
en låt,Jag lyssnar på en låt varje dag.,I listen to a song every day.
en herr,En herr kom in i rummet och hälsade på alla.,A gentleman entered the room and greeted everyone.
en sekvens,En sekvens av noter spelades vackert.,A sequence of notes was played beautifully.
att förekomma,Vi måste förekomma problemen innan de blir stora.,We must anticipate the problems before they become big.
att stoppa,Vi måste stoppa bilen vid rödljuset.,We must stop the car at the red light.
en nyhet,Det är en nyhet som alla pratar om.,It is a news that everyone is talking about.
en journalist,En journalist skriver om viktiga händelser.,A journalist writes about important events.
en kris,Det är en kris i ekonomin just nu.,There is a crisis in the economy right now.
att rycka,Hon ryckte snabbt i repet för att fånga hunden.,She quickly pulled the rope to catch the dog.
att trycka,Jag behöver trycka på knappen för att öppna dörren.,I need to press the button to open the door.
betydligt,Priserna har ökat betydligt de senaste månaderna.,Prices have increased significantly in the past few months.
att kosta,Det kostar mycket att bo i Stockholm.,It costs a lot to live in Stockholm.
ett band,Jag köpte ett band för att dekorera presenten.,I bought a ribbon to decorate the gift.
numera,Numera jobbar jag hemifrån.,Now I work from home.
ett tillstånd,Jag behöver ett tillstånd för att bo här.,I need a permit to live here.
värd,Det här konstverket är verkligen värt mycket.,This artwork is truly worth a lot.
igen,Dörren är stängd igen.,The door is closed again.
imorgon,Imorgon ska jag gå till skolan.,Tomorrow I will go to school.
en klass,Vi har en klass med många duktiga elever.,We have a class with many skilled students.
att uttrycka,Det är viktigt att uttrycka sina känslor.,It is important to express one’s feelings.
en slutsats,Vi måste dra en slutsats från resultaten.,We need to draw a conclusion from the results.
global,Globalisering påverkar många länder.,Globalization affects many countries.
mitt,Bollen ligger mitt på golvet.,The ball is right in the middle of the floor.
en stol,Jag sitter på en stol.,I am sitting on a chair.
effektiv,Effektiv träning ger snabba resultat.,Effective training gives quick results.
att resa,Jag älskar att resa till nya platser.,I love to travel to new places.
att förbättra,Jag vill förbättra mina svenska kunskaper.,I want to improve my Swedish skills.
att rädda,Jag måste rädda katten från trädet.,I have to rescue the cat from the tree.
en list,Han hade en list för att vinna spelet.,He had a trick to win the game.
en relation,En relation mellan vänner är viktig.,A relationship between friends is important.
att agera,Jag måste agera snabbt för att lösa problemet.,I need to act quickly to solve the problem.
central,Centralstationen ligger mitt i staden.,The central station is located in the middle of the city.
en undersökning,En undersökning visade att många människor föredrar att arbeta hemifrån.,An investigation showed that many people prefer to work from home.
att uppnå,Det tar tid att uppnå sina drömmar.,It takes time to reach your dreams.
ett perspektiv,Ett perspektiv kan förändra hur vi ser på världen.,A perspective can change how we see the world.
ytterligare,Jag behöver ytterligare tid för att slutföra projektet.,I need more time to finish the project.
flera,Jag har flera böcker hemma.,I have several books at home.
en krona,Jag har en krona i min ficka.,I have a crown in my pocket.
plötsligt,Plötsligt började det regna.,"Suddenly, it started to rain."
naturlig,Naturlig skönhet finns överallt i naturen.,Natural beauty is everywhere in nature.
en ålder,Hon är i en ålder där hon börjar tänka på framtiden.,She is at an age where she starts thinking about the future.
en process,"En process kan ta tid, men den är viktig.","A process can take time, but it is important."
ett uttryck,Hon hade ett uttryck av förvåning på sitt ansikte.,She had an expression of surprise on her face.
en lista,Jag har skrivit en lista över mina favoritböcker.,I have written a list of my favorite books.
allra,Det är allra bäst att vara snäll mot andra.,It is very best to be kind to others.
en sökning,Jag gör en sökning på internet.,I am doing a search on the internet.
en ökning,Det är en ökning av priserna som oroar alla.,There is an increase in prices that worries everyone.
därför att,Hon stannar hemma därför att hon är sjuk.,She stays home because she is sick.
rysk,Rysk mat är väldigt god.,Russian food is very tasty.
att jämföra,Jag gillar att jämföra böcker innan jag köper dem.,I like to compare books before I buy them.
tills,Vi kommer att vara tillsammans tills vi blir gamla.,We will be together until we grow old.
intresserad,Jag är intresserad av att lära mig svenska.,I am interested in learning Swedish.
totalt,Jag är totalt trött efter jobbet.,I am totally tired after work.
att hantera,Det är viktigt att hantera stress på rätt sätt.,It is important to manage stress in the right way.
att förvänta,Jag förväntar mig inte ett svar från henne.,I don't expect an answer from her.
ett medel,Ett medel för att bli frisk är att äta bra mat.,A means to get healthy is to eat good food.
att vika,Jag vill vika papper till origami.,I want to fold paper for origami.
att döma,Vi ska inte döma människor utan att känna dem.,We should not judge people without knowing them.
att besöka,Jag vill besöka mina vänner i helgen.,I want to visit my friends this weekend.
ett hem,Det är viktigt att ha ett hem.,It is important to have a home.
att täcka,Jag behöver en filt för att täcka mig när det är kallt.,I need a blanket to cover myself when it's cold.
borgerlig,Den borgerliga regeringen beslutade att sänka skatterna.,The bourgeois government decided to lower taxes.
var,Var är du?,Where are you?
att inleda,Att inleda ett möte är viktigt för att få alla att fokusera.,To begin a meeting is important to get everyone focused.
en helg,Vi ska åka till stugan över en helg.,We are going to the cabin for a weekend.
att undvika,Jag försöker alltid att undvika onödiga konflikter.,I always try to avoid unnecessary conflicts.
ett ryck,Han vaknade med ett ryck när alarmet ringde.,He woke with a start when the alarm rang.
ett tryck,Det var ett tryck i rummet när vi firade hennes födelsedag.,There was a terrific atmosphere in the room when we celebrated her birthday.
tydligen,Tydligen ska det regna imorgon.,"Apparently, it is going to rain tomorrow."
aktiv,Jag är aktiv varje dag.,I am active every day.
att höja,Vi måste höja priset på biljetterna.,We need to raise the price of the tickets.
en pappa,En pappa leker med sina barn i parken.,A dad is playing with his children in the park.
varken (...) eller,Varken katten eller hunden är hemma.,Neither the cat nor the dog is home.
religiös,Hon är väldigt religiös och går till kyrkan varje söndag.,She is very religious and goes to church every Sunday.
att råka,Jag råkade träffa min gamla vän på affären.,I happened to meet my old friend at the store.
verklig,Det är viktigt att vara verklig mot sig själv.,It is important to be real with yourself.
rent,Det är rent fantastiskt att se soluppgången.,It is absolutely fantastic to see the sunrise.
fantastisk,Det var en fantastisk dag i parken.,It was a fantastic day in the park.
grundläggande,Kunskap är en grundläggande del av livet.,Knowledge is a fundamental part of life.
att upptäcka,Jag vill upptäcka nya platser.,I want to discover new places.
att erkänna,Jag måste erkänna att jag hade fel.,I must admit that I was wrong.
helig,Gud är helig.,God is holy.
en lön,Jag får en lön varje månad för mitt arbete.,I receive a salary every month for my work.
historisk,Stockholm har många historiska byggnader.,Stockholm has many historical buildings.
en rest,Det finns en rest av maten i kylskåpet.,There is a leftover of the food in the fridge.
halv,Jag har en halv pizza kvar.,I have half a pizza left.
en andel,En andel av kakan var mycket god.,A share of the cake was very good.
ett besök,Jag ska göra ett besök hos min vän imorgon.,I will make a visit to my friend tomorrow.
teknisk,Teknisk information är viktig för projektet.,Technical information is important for the project.
att kasta,Jag gillar att kasta bollen med mina vänner.,I like to throw the ball with my friends.
en hemsida,Jag besöker en hemsida varje dag.,I visit a home page every day.
att bedöma,Vi måste bedöma situationen innan vi tar ett beslut.,We need to assess the situation before making a decision.
en torsdag,En torsdag är en bra dag att träffa vänner.,A Thursday is a good day to meet friends.
en tillväxt,En tillväxt i företaget är alltid positiv.,A growth in the company is always positive.
en läsare,En läsare kan enkelt hitta information på nätet.,A reader can easily find information online.
en forskare,En forskare jobbar ofta sent på kvällen.,A researcher often works late in the evening.
ett bidrag,Ett bidrag kan göra stor skillnad.,A contribution can make a big difference.
en onsdag,En onsdag är alltid en bra dag för att träffa vänner.,A Wednesday is always a good day to meet friends.
en vilja,En vilja att lära sig nya saker är viktig.,A will to learn new things is important.
en sol,En sol lyser på himlen.,A sun shines in the sky.
inte minst,"Det finns många skäl att besöka Stockholm, inte minst för maten.","There are many reasons to visit Stockholm, not least for the food."
en analys,En analys av resultaten är viktig.,An analysis of the results is important.
ovan,Fågeln sitter ovan trädet.,The bird is sitting above the tree.
en lagstiftning,En lagstiftning skyddar våra rättigheter.,A legislation protects our rights.
militär,Militär träning är viktigt för landet.,Military training is important for the country.
att toppa,Jag vill toppa min pizza med extra ost.,I want to top my pizza with extra cheese.
en sort,Det finns en sort äpple som är mycket söt.,There is a kind of apple that is very sweet.
en fördel,En fördel med att läsa böcker är att man lär sig nya saker.,An advantage of reading books is that you learn new things.
att skydda,Vi måste skydda naturen.,We must protect nature.
att nyttja,Det är viktigt att nyttja tiden väl.,It is important to make good use of time.
att utnyttja,Hon försökte utnyttja sin väns snällhet.,She tried to exploit her friend's kindness.
en teori,En teori kan förklara många mysterier.,A theory can explain many mysteries.
fransk,Fransk mat är min favorit.,French food is my favorite.
att pågå,Det pågår en intressant diskussion i klassrummet.,An interesting discussion is going on in the classroom.
en samling,Vi har en samling böcker i biblioteket.,We have a collection of books in the library.
ett flertal,Ett flertal av oss gillar att läsa böcker.,A majority of us enjoy reading books.
snarare,Det är snarare bättre att gå än att ta bussen.,It is rather better to walk than to take the bus.
att försvara,Jag måste försvara mina vänner.,I must defend my friends.
en modell,Hon är en modell för många unga tjejer.,She is a model for many young girls.
skön,Det är en skön dag i parken.,It is a nice day in the park.
ett vapen,Ett vapen kan vara farligt.,A weapon can be dangerous.
således,"Vi har inga fler biljetter, således kan vi inte gå på konserten.","We have no more tickets, thus we cannot go to the concert."
en förening,Vi bildade en förening för att hjälpa barn i behov.,We formed an association to help children in need.
att lyfta,Jag behöver lyfta pengar från mitt konto.,I need to lift money from my account.
en eftermiddag,Vi ska gå till parken en eftermiddag.,We will go to the park one afternoon.
en soldat,En soldat skyddar sitt land.,A soldier protects their country.
att märka,Jag märkte att det regnade när jag gick ut.,I noticed that it was raining when I went outside.
en gemenskap,Vi har en gemenskap i vår by.,We have a community in our village.
att ösa,Jag ska ösa soppa i din tallrik.,I will scoop soup into your bowl.
fast,"Jag gillar pizza, fast jag borde äta sallad.","I like pizza, but I should eat salad."
en styrka,En styrka i laget är viktigt för att vinna.,A strength in the team is important to win.
att ersätta,Jag måste ersätta den trasiga lampan.,I need to replace the broken lamp.
en kille,En kille i min klass är väldigt rolig.,A guy in my class is very funny.
fullt,Jag är fullt redo för testet.,I am fully ready for the test.
att ägna,Jag vill ägna mer tid åt mina studier.,I want to devote more time to my studies.
oavsett,Oavsett vädret går vi på promenad.,"Regardless of the weather, we are going for a walk."
en vård,En vård är viktig för de gamla.,Care is important for the elderly.
en poäng,Jag fick en poäng på provet.,I got a point on the test.
att satsa,Jag vill satsa på min utbildning för att få ett bättre jobb.,I want to invest in my education to get a better job.
en moderat,En moderat tycker att förändringar ska ske gradvis.,A moderate believes that changes should happen gradually.
att rida,Jag älskar att rida på hästar.,I love to ride horses.
jo,"Jo, jag har redan ätit lunch.","Yes, I have already eaten lunch."
en tisdag,En tisdag är en bra dag för att börja träna.,A Tuesday is a good day to start exercising.
död,Hunden är död.,The dog is dead.
allmänt,Allmänt tycker folk om att vara ute i naturen.,"Generally, people like to be outdoors in nature."
att avsluta,Jag måste avsluta mitt arbete innan klockan fem.,I need to finish my work before five o'clock.
att sova,Jag älskar att sova på helgerna.,I love to sleep on the weekends.
inne,Vi stannade inne hela dagen på grund av regnet.,We stayed inside all day because of the rain.
en flicka,En flicka leker i parken.,A girl is playing in the park.
sedan,Jag har varit här sedan klockan tio.,I have been here since ten o'clock.
total,Jag har total förtroende för dig.,I have total trust in you.
allvarlig,Det är en allvarlig situation.,It is a serious situation.
fram,Han gick fram till dörren.,He walked up to the door.
ett ljus,Jag tänder ett ljus varje kväll.,I light a candle every evening.
en sjukdom,En sjukdom sprider sig snabbt.,An illness spreads quickly.
en unge,En unge leker i gräset.,A young one is playing in the grass.
i form av,Vi fick en gåva i form av blommor.,We received a gift in the form of flowers.
en vikt,En vikt kan göra stor skillnad i träningen.,A weight can make a big difference in training.
rik,Hon är rik som ett troll.,She is rolling in money.
en region,Sverige har många vackra regioner.,Sweden has many beautiful regions.
ett samtal,Vi hade ett samtal igår om våra planer.,We had a conversation yesterday about our plans.
negativ,Hans negativa attityd påverkar alla.,His negative attitude affects everyone.
mycket,Vi har mycket att göra idag.,We have a lot to do today.
i år,I år ska jag resa till Sverige.,This year I will travel to Sweden.
i gång,"Bilen är inte i gång, jag behöver hjälp.","The car is not started, I need help."
en vändning,Livet kan ta en vändning när man minst anar det.,Life can take a turn when you least expect it.
antingen (...) eller,"Antingen går vi till parken, eller så stannar vi hemma.","Either we go to the park, or we stay at home."
att föda,Hon ska föda sitt barn i sommar.,She will give birth to her child this summer.
åter,Jag kommer tillbaka igen.,I am coming back again.
en arbetare,En arbetare jobbar hårt varje dag.,A worker works hard every day.
att skjuta,Jag vill skjuta bollen till dig.,I want to shoot the ball to you.
en tradition,En tradition i vår familj är att fira jul tillsammans.,A tradition in our family is to celebrate Christmas together.
att hämta,Jag ska hämta min bok från biblioteket.,I will fetch my book from the library.
en församling,Vi samlas varje söndag i en församling.,We gather every Sunday in a church congregation.
ett hav,Ett hav är djupt och blått.,A sea is deep and blue.
en energi,En energi är viktig för vår framtid.,Energy is important for our future.
bred,Gatan är bred och lätt att köra på.,The street is wide and easy to drive on.
vad gäller,"Vad gäller mötet, börjar det klockan två.","As far as the meeting is concerned, it starts at two o'clock."
att påpeka,Jag vill påpeka att vi måste vara försiktiga.,I want to point out that we need to be careful.
att bättra,Jag försöker alltid att bättra mig själv varje dag.,I always try to improve myself every day.
att skaffa,Vi vill skaffa en hund.,We want to get a dog.
att utgå,Vi måste utgå från att alla gör sitt bästa.,We must assume that everyone is doing their best.
samtlig,Samtlig information måste vara korrekt.,All information must be correct.
att stärka,Jag tränar varje dag för att stärka min kropp.,I train every day to strengthen my body.
en läkare,Jag träffade en läkare igår.,I met a doctor yesterday.
fattig,Han är fattig men lycklig.,He is poor but happy.
ett grepp,Han hade ett grepp om stickan när han kastade den.,He had a grip on the stick when he threw it.
fast,Jag fastnade i trafiken i över en timme.,I got stuck in traffic for over an hour.
hej,"Hej, hur mår du?","Hi, how are you?"
att utsätta,Barn bör inte utsättas för våld.,Children should not be subjected to violence.
spännande,Det är spännande att läsa en bra bok.,It is exciting to read a good book.
fort,"Kom hit fort, vi har bråttom!","Come here quickly, we are in a hurry!"
en sikt,En klar sikt gör det lättare att köra bil.,A clear visibility makes it easier to drive a car.
en revolution,En revolution kan förändra världen.,A revolution can change the world.
ett brev,Jag fick ett brev från min vän.,I received a letter from my friend.
en personal,En personal hjälper alltid vid nödsituationer.,Emergency services personnel always help in emergencies.
en skada,Hon fick en skada på knäet när hon föll.,She got an injury on her knee when she fell.
illa,Det känns illa att jag inte kan komma på festen.,It feels bad that I can't come to the party.
att kämpa,Vi behöver kämpa för våra drömmar.,We need to fight for our dreams.
alltför,Det är alltför kallt ute idag.,It is far too cold outside today.
ett tecken,Ett tecken kan vara en vänlig gest.,A sign can be a friendly gesture.
en siffra,En siffra kan vara både liten och stor.,A digit can be both small and large.
tydligt,Han förklarade det tydligt.,He explained it clearly.
ännu,Jag är ännu trött efter jobbet.,I am still tired after work.
hårt,Jag måste träna hårt för att bli bättre.,I have to train hard to get better.
absolut,Det är absolut viktigt att studera varje dag.,It is absolutely important to study every day.
att eka,Det är roligt att höra rösten eka i dalen.,It's fun to hear the voice echo in the valley.
engelsk,Hon är engelsk och älskar te.,She is English and loves tea.
en praktik,Jag ska göra en praktik nästa sommar.,I will do an internship next summer.
förmodligen,Förmodligen kommer det att regna imorgon.,"Presumably, it will rain tomorrow."
att hoppa,Barnet hoppar högt i parken.,The child jumps high in the park.
en morgon,En morgon är alltid en ny början.,A morning is always a new beginning.
en tjej,En tjej i skolan är min bästa vän.,A girl in school is my best friend.
konstig,Det kändes konstigt när jag såg honom igen.,It felt strange when I saw him again.
en union,Sverige är en del av en union som heter EU.,Sweden is part of a union called the EU.
kommande,Det kommande vädret ser lovande ut.,The coming weather looks promising.
att avgöra,Vi måste avgöra vilken film vi ska se ikväll.,We need to decide which movie we are going to watch tonight.
en chef,Min chef är snäll och hjälpsam.,My boss is kind and helpful.
ett vis,Hon sjunger på ett vis som får alla att le.,She sings in a way that makes everyone smile.
en strid,"En strid kan vara svår, men vi måste kämpa för det som är rätt.","A battle can be tough, but we must fight for what is right."
att sända,Jag ska sända ett meddelande till dig.,I will send a message to you.
att missa,Jag vill inte missa tåget.,I don't want to miss the train.
att bedriva,Vi måste bedriva vår verksamhet på ett effektivt sätt.,We must operate our business in an efficient manner.
etcetera,"Vi kommer att köpa frukt, grönsaker, bröd, etcetera.","We will buy fruit, vegetables, bread, etcetera."
att anföra,Han anförde gruppen genom hela projektet.,He led the group through the entire project.
varm,Det är en varm dag idag.,It is a warm day today.
hit,Kom hit och spela med mig!,Come here and play with me!
en berättelse,En berättelse kan vara både spännande och lärorik.,A story can be both exciting and educational.
en produktion,En produktion av filmen var mycket framgångsrik.,A production of the film was very successful.
ett kapitel,Jag läser ett kapitel varje kväll.,I read a chapter every evening.
att hindra,Jag vill inte att något ska hindra mig från att nå mina drömmar.,I don't want anything to stop me from reaching my dreams.
en konst,En konst kan beröra våra känslor.,An art can touch our feelings.
speciell,Hon har en speciell stil.,She has a special style.
ett allvar,Vi måste ta detta på ett allvar.,We must take this seriously.
grön,Gräset är grön på våren.,The grass is green in spring.
en vår,En vår är en tid för nya början.,A spring is a time for new beginnings.
att meddela,Jag vill meddela dig att mötet är inställt.,I want to inform you that the meeting is canceled.
omöjlig,Det är omöjlig att klara provet utan att studera.,It is impossible to pass the exam without studying.
att tillämpa,Jag vill tillämpa mina kunskaper i svenska.,I want to apply my knowledge of Swedish.
ett skydd,Ett skydd mot regnet är viktigt när du är ute.,A shelter from the rain is important when you are outside.
hittills,Hittills har vi haft en bra dag.,"So far, we have had a good day."
sällan,Jag går sällan på bio.,I seldom go to the cinema.
en position,Jag söker en position inom företaget.,I am looking for a position within the company.
en behandling,Jag behöver en behandling för min förkylning.,I need a treatment for my cold.
omfattande,Studien var omfattande och täckte många ämnen.,The study was comprehensive and covered many topics.
en skog,Jag älskar att promenera i en skog.,I love to walk in a forest.
